,Date,Country,City,Specie,count,min,max,median,variance
714065,18/01/2020,IN,Thrissur,so2,14,0.6,52.8,9.7,2654.0
714066,03/04/2020,IN,Thrissur,so2,61,1.8,9.5,2.6,70.26
714067,23/04/2020,IN,Thrissur,so2,69,0.7,9.3,3.1,93.84
714068,24/04/2020,IN,Thrissur,so2,66,0.4,11.7,3.2,107.11
714069,09/01/2020,IN,Thrissur,so2,20,2.0,37.2,8.8,1136.53
714070,12/01/2020,IN,Thrissur,so2,24,0.8,13.6,3.3,96.72
714071,23/01/2020,IN,Thrissur,so2,24,0.8,4.4,2.6,6.5
714072,16/02/2020,IN,Thrissur,so2,24,0.5,4.3,2.2,13.91
714073,05/06/2020,IN,Thrissur,so2,72,0.8,11.1,2.6,108.85
714074,07/06/2020,IN,Thrissur,so2,72,1.2,13.2,2.8,171.21
714075,04/06/2020,IN,Thrissur,so2,72,1.2,8.8,2.8,70.37
714076,25/01/2020,IN,Thrissur,so2,21,0.1,4.4,3.1,11.83
714077,27/01/2020,IN,Thrissur,so2,24,1.2,5.7,3.0,17.89
714078,01/02/2020,IN,Thrissur,so2,24,1.0,3.7,2.4,5.1
714079,15/04/2020,IN,Thrissur,so2,62,1.6,9.2,2.3,70.04
714080,25/04/2020,IN,Thrissur,so2,53,0.1,9.9,4.8,91.07
714081,21/06/2020,IN,Thrissur,so2,68,1.4,12.9,2.7,181.09
714082,06/02/2020,IN,Thrissur,so2,24,2.6,5.6,3.6,5.55
714083,15/02/2020,IN,Thrissur,so2,24,0.6,6.4,2.8,27.82
714084,21/03/2020,IN,Thrissur,so2,24,2.0,4.7,2.8,5.4
714085,02/04/2020,IN,Thrissur,so2,65,1.7,10.0,3.0,79.42
714086,09/06/2020,IN,Thrissur,so2,72,1.3,13.7,3.1,177.88
714087,07/04/2020,IN,Thrissur,so2,72,1.2,10.1,2.3,97.52
714088,06/05/2020,IN,Thrissur,so2,48,0.1,27.7,2.2,227.83
714089,29/05/2020,IN,Thrissur,so2,72,1.3,7.2,2.7,42.98
714090,20/01/2020,IN,Thrissur,so2,14,0.3,56.8,13.6,4152.28
714091,28/01/2020,IN,Thrissur,so2,22,0.1,5.3,3.5,23.26
714092,26/02/2020,IN,Thrissur,so2,24,0.1,7.3,2.9,48.04
714093,06/03/2020,IN,Thrissur,so2,24,1.2,4.3,2.7,10.82
714094,08/03/2020,IN,Thrissur,so2,24,1.4,4.0,3.2,5.76
714095,14/06/2020,IN,Thrissur,so2,68,1.3,15.6,3.2,183.32
714096,27/03/2020,IN,Thrissur,so2,25,1.6,3.4,2.8,1.3
714097,27/04/2020,IN,Thrissur,so2,46,1.3,10.1,7.2,100.06
714098,27/05/2020,IN,Thrissur,so2,72,1.3,7.1,2.2,42.22
714099,30/01/2020,IN,Thrissur,so2,24,1.0,5.7,3.1,21.56
714100,27/02/2020,IN,Thrissur,so2,14,2.5,7.0,4.0,18.22
714101,17/03/2020,IN,Thrissur,so2,24,1.2,4.3,2.4,8.24
714102,22/03/2020,IN,Thrissur,so2,24,1.6,5.5,3.4,8.74
714103,24/03/2020,IN,Thrissur,so2,24,0.8,3.8,2.6,6.02
714104,01/06/2020,IN,Thrissur,so2,72,1.1,12.2,2.9,63.36
714105,24/06/2020,IN,Thrissur,so2,72,1.4,12.0,2.8,176.27
714106,03/03/2020,IN,Thrissur,so2,8,2.2,3.1,2.6,0.98
714107,18/03/2020,IN,Thrissur,so2,24,0.8,5.1,2.5,16.9
714108,30/04/2020,IN,Thrissur,so2,70,0.8,9.9,1.7,106.82
714109,05/01/2020,IN,Thrissur,so2,19,1.0,26.0,9.7,478.04
714110,10/01/2020,IN,Thrissur,so2,14,0.7,23.8,6.4,574.48
714111,11/05/2020,IN,Thrissur,so2,72,1.3,9.1,2.7,56.7
714112,20/06/2020,IN,Thrissur,so2,62,1.4,11.2,2.9,166.24
714113,17/01/2020,IN,Thrissur,so2,19,0.1,45.0,5.3,2690.77
714114,24/01/2020,IN,Thrissur,so2,22,0.1,6.1,3.5,18.72
714115,03/02/2020,IN,Thrissur,so2,24,0.6,4.7,2.5,11.71
714116,07/03/2020,IN,Thrissur,so2,24,1.2,5.4,3.0,12.22
714117,14/05/2020,IN,Thrissur,so2,50,1.4,8.6,2.8,64.18
714118,31/12/2019,IN,Thrissur,so2,18,0.2,35.2,2.7,821.91
714119,07/01/2020,IN,Thrissur,so2,19,0.5,51.3,6.4,2965.62
714120,29/02/2020,IN,Thrissur,so2,24,2.0,3.5,2.8,1.44
714121,05/04/2020,IN,Thrissur,so2,72,1.5,10.0,2.5,91.13
714122,20/04/2020,IN,Thrissur,so2,70,1.0,21.0,2.7,139.33
714123,26/04/2020,IN,Thrissur,so2,45,1.6,9.7,7.2,93.41
714124,04/01/2020,IN,Thrissur,so2,12,0.1,51.4,6.7,2351.63
714125,04/02/2020,IN,Thrissur,so2,24,1.2,6.2,3.2,29.34
714126,23/02/2020,IN,Thrissur,so2,24,1.1,5.1,3.1,11.56
714127,13/03/2020,IN,Thrissur,so2,24,1.8,4.1,2.7,3.63
714128,23/03/2020,IN,Thrissur,so2,24,2.5,4.6,3.2,4.86
714129,09/04/2020,IN,Thrissur,so2,72,1.6,9.3,3.0,91.34
714130,02/05/2020,IN,Thrissur,so2,64,0.6,9.5,2.6,107.45
714131,05/05/2020,IN,Thrissur,so2,51,1.4,11.3,1.7,99.41
714132,18/02/2020,IN,Thrissur,so2,24,1.4,4.9,3.2,8.29
714133,09/03/2020,IN,Thrissur,so2,24,1.9,4.0,2.8,2.81
714134,25/03/2020,IN,Thrissur,so2,24,2.0,3.6,3.0,2.23
714135,26/03/2020,IN,Thrissur,so2,24,1.9,4.0,2.3,5.01
714136,06/04/2020,IN,Thrissur,so2,72,1.5,9.7,2.6,95.31
714137,09/05/2020,IN,Thrissur,so2,72,1.3,9.3,3.5,51.78
714138,16/05/2020,IN,Thrissur,so2,43,1.4,8.7,5.0,58.28
714139,25/05/2020,IN,Thrissur,so2,72,1.3,7.3,2.6,41.52
714140,29/06/2020,IN,Thrissur,so2,39,1.4,12.2,2.8,180.86
714141,22/01/2020,IN,Thrissur,so2,21,0.1,4.5,1.7,17.63
714142,17/02/2020,IN,Thrissur,so2,24,0.8,4.1,2.9,7.75
714143,01/04/2020,IN,Thrissur,so2,72,1.7,14.3,2.4,211.66
714144,23/05/2020,IN,Thrissur,so2,72,1.2,7.1,2.8,41.37
714145,23/06/2020,IN,Thrissur,so2,59,1.4,11.6,3.7,200.42
714146,02/01/2020,IN,Thrissur,so2,14,0.1,49.6,9.1,3418.61
714147,11/03/2020,IN,Thrissur,so2,24,1.9,3.8,2.7,2.8
714148,11/04/2020,IN,Thrissur,so2,72,1.4,9.8,2.3,99.27
714149,16/06/2020,IN,Thrissur,so2,60,1.4,14.8,3.3,183.75
714150,05/02/2020,IN,Thrissur,so2,24,1.6,4.7,3.2,8.04
714151,22/02/2020,IN,Thrissur,so2,24,0.8,5.9,3.2,15.75
714152,24/05/2020,IN,Thrissur,so2,72,1.3,7.2,2.6,44.73
714153,26/05/2020,IN,Thrissur,so2,72,1.3,7.1,2.9,38.27
