date,pm25,pm10,o3,no2,so2,co,city
23/01/2020,108,53,2,10,4,4,kota
24/01/2020,87,68,17,13,4,6,kota
25/01/2020,98,80,8,11,4,6,kota
26/01/2020,113,75,36,6,6,10,kota
27/01/2020,101,51,27,7,3,2,kota
28/01/2020,72,43,28,7,3,5,kota
29/01/2020,66,53,8,8,3,5,kota
30/01/2020,87,56,3,7,3,5,kota
31/01/2020,83,61,14,8,4,5,kota
01/02/2020,164,87,29,14,4,5,kota
02/02/2020,104,67,7,8,3,6,kota
03/02/2020,103,67,16,18,5,5,kota
04/02/2020,69,54,25,5,4,3,kota
05/02/2020,66,47,20,4,3,3,kota
06/02/2020,90,38,24,4,3,4,kota
07/02/2020,82,38,15,5,3,4,kota
13/02/2020,124,62,29,13,4,4,kota
14/02/2020,111,51,20,13,5,7,kota
15/02/2020,104,54,13,11,4,6,kota
16/02/2020,101,66,10,17,5,5,kota
17/02/2020,116,60,17,14,4,5,kota
18/02/2020,111,47,12,13,4,4,kota
19/02/2020,79,61,41,11,4,5,kota
20/02/2020,100,70,41,10,3,4,kota
21/02/2020,116,64,38,10,5,5,kota
22/02/2020,111,64,38,13,5,5,kota
23/02/2020,116,58,40,20,4,4,kota
24/02/2020,92,66,26,29,5,7,kota
25/02/2020,117,77,17,29,5,6,kota
26/02/2020,113,71,5,27,5,4,kota
27/02/2020,112,71,26,27,5,4,kota
28/02/2020,115,65,25,19,6,4,kota
29/02/2020,107,65,26,17,4,4,kota
