date,pm25,pm10,o3,no2,so2,co,city
2020-05-11,68,54,37,10,4,4,kota
2020-05-12,70,53,31,10,4,3,kota
2020-05-13,91,58,27,11,4,3,kota
2020-05-14,100,56,24,8,4,3,kota
2020-05-15,100,44,33,5,5,4,kota
2020-05-16,77,35,29,4,4,3,kota
2020-05-17,76,59,26,4,4,3,kota
2020-05-18,100,66,26,3,4,3,kota
2020-05-19,85,66,31,3,4,4,kota
2020-05-20,104,52,29,3,4,4,kota
2020-05-21,90,66,21,2,4,4,kota
2020-05-22,107,59,25,2,3,3,kota
2020-05-23,107,64,21,2,3,4,kota
2020-05-24,110,56,21,2,3,3,kota
2020-05-25,99,46,33,2,5,4,kota
2020-05-26,77,59,25,2,3,3,kota
2020-05-27,89,74,22,2,3,4,kota
2020-05-28,100,73,21,2,3,3,kota
2020-05-29,110,68,24,3,4,3,kota
2020-05-30,106,41,28,3,4,4,kota
2020-05-31,70,43,26,3,3,4,kota
2020-06-01,75,45,31,4,4,3,kota
2020-06-02,90,38,24,4,3,4,kota
2020-06-03,70,36,23,2,4,4,kota
2020-06-04,66,34,36,2,7,10,kota
2020-06-05,54,39,23,2,4,4,kota
2020-06-06,66,35,16,3,3,5,kota
2020-06-07,67,41,23,2,3,4,kota
2020-06-08,66,40,23,2,3,4,kota
2020-06-09,72,41,17,3,4,4,kota
2020-06-10,79,36,13,3,4,4,kota
2020-06-11,63,54,18,4,4,4,kota
2020-06-12,86,55,25,4,5,4,kota
2020-06-13,89,42,23,3,4,3,kota
2020-06-14,76,42,33,3,9,7,kota
2020-06-15,69,54,20,4,3,3,kota
2020-06-16,85,56,19,2,3,2,kota
2020-06-17,70,50,21,4,4,3,kota
2020-06-18,81,39,17,2,4,3,kota
2020-06-19,72,40,17,2,4,3,kota
2020-06-20,73,41,13,5,3,4,kota
2020-06-21,76,32,13,4,3,3,kota
2020-06-22,64,31,11,4,3,3,kota
2020-06-23,59,32,10,5,3,4,kota
2020-06-24,61,26,22,8,5,5,kota
2020-06-25,53,38,12,10,3,3,kota
2020-06-26,67,40,14,6,3,3,kota
2020-06-27,69,43,12,5,3,3,kota
2020-06-28,68,41,13,5,3,3,kota
2020-06-29,70,34,14,8,2,4,kota
2020-06-30,65,44,16,5,3,3,kota
2020-07-01,74,47,16,5,2,3,kota
2020-07-02,82,38,15,5,3,4,kota
2020-07-03,69,34,19,8,4,4,kota
2020-07-04,62,32,20,6,3,4,kota
2020-07-05,59,21,26,3,6,3,kota
2020-07-06,42,33,15,7,3,4,kota
2020-07-07,62,20,15,4,2,3,kota
2020-07-08,52,34,12,5,3,3,kota
2020-07-09,64,35,15,4,3,3,kota
2020-07-10,64,23,9,3,4,3,kota
2020-07-11,52,25,6,4,4,3,kota
2020-07-12,54,33,5,3,3,4,kota
2020-07-13,65,35,7,3,4,4,kota
2020-07-14,66,39,8,3,4,4,kota
2020-07-15,72,38,7,4,4,5,kota
2020-07-16,68,36,6,4,4,4,kota
2020-07-17,65,22,24,14,6,5,kota
2020-07-18,50,27,8,2,4,3,kota
2020-07-19,57,27,11,9,5,4,kota
2020-07-20,56,29,11,4,3,3,kota
2020-07-21,58,38,13,4,3,3,kota
2020-07-22,72,49,12,5,3,3,kota
2020-07-23,91,26,13,7,3,3,kota
2020-07-24,58,30,16,38,3,3,kota
2020-07-25,60,30,11,2,3,4,kota
2020-07-26,67,33,13,3,3,3,kota
2020-07-27,65,31,25,4,3,4,kota
2020-07-28,62,35,13,4,3,1,kota
2020-07-29,62,0,0,0,0,0,kota
2020-01-01,46,17,0,11,3,0,mussoorie
2020-01-02,55,21,0,12,3,0,mussoorie
2020-01-03,62,35,0,12,3,0,mussoorie
2020-01-04,89,20,0,10,3,0,mussoorie
2020-01-05,59,21,0,12,3,0,mussoorie
2020-01-06,56,21,0,11,3,0,mussoorie
2020-01-07,43,88,0,12,3,0,mussoorie
2020-01-08,82,10,0,12,3,0,mussoorie
2020-01-09,34,8,0,12,3,0,mussoorie
2020-01-10,28,4,0,9,3,0,mussoorie
2020-01-11,17,3,0,10,3,0,mussoorie
2020-01-12,13,7,0,10,3,0,mussoorie
2020-01-13,26,12,0,11,3,0,mussoorie
2020-01-14,39,35,0,11,3,0,mussoorie
2020-01-15,86,13,0,10,3,0,mussoorie
2020-01-16,45,24,0,13,3,0,mussoorie
2020-01-17,40,11,0,11,3,0,mussoorie
2020-01-18,36,11,0,11,3,0,mussoorie
2020-01-19,37,14,0,11,3,0,mussoorie
2020-01-20,44,11,0,11,3,0,mussoorie
2020-01-21,35,8,0,11,3,0,mussoorie
2020-01-22,30,13,0,9,3,0,mussoorie
2020-01-23,39,10,0,8,3,0,mussoorie
2020-01-24,32,18,0,11,3,0,mussoorie
2020-01-25,55,23,0,10,3,0,mussoorie
2020-01-26,62,37,0,12,3,0,mussoorie
2020-01-27,91,13,0,12,3,0,mussoorie
2020-01-28,45,68,0,12,3,0,mussoorie
2020-01-29,88,16,0,10,3,0,mussoorie
2020-01-30,51,25,0,12,3,0,mussoorie
2020-01-31,67,19,0,10,3,0,mussoorie
2020-02-01,56,6,0,9,3,0,mussoorie
2020-02-02,25,18,0,12,3,0,mussoorie
2020-02-03,50,22,0,11,3,0,mussoorie
2020-02-04,63,26,0,10,3,0,mussoorie
2020-02-05,71,36,0,11,3,0,mussoorie
2020-02-06,90,39,0,11,3,0,mussoorie
2020-02-07,98,17,0,9,3,0,mussoorie
2020-02-08,53,17,0,10,3,0,mussoorie
2020-02-09,48,32,0,10,3,0,mussoorie
2020-02-10,83,36,0,10,3,0,mussoorie
2020-02-11,92,27,0,8,3,0,mussoorie
2020-02-12,73,16,0,9,2,0,mussoorie
2020-02-13,48,20,0,8,3,0,mussoorie
2020-02-14,57,19,0,8,3,0,mussoorie
2020-02-15,59,0,0,0,0,0,mussoorie
2020-02-16,0,20,0,6,3,0,mussoorie
2020-02-17,58,46,0,7,3,0,mussoorie
2020-02-18,111,42,0,10,3,0,mussoorie
2020-02-19,100,39,0,9,3,0,mussoorie
2020-02-20,94,31,0,12,3,0,mussoorie
2020-02-21,67,20,0,10,3,0,mussoorie
2020-02-22,60,26,0,11,3,0,mussoorie
2020-02-23,71,26,0,9,3,0,mussoorie
2020-02-24,70,44,0,11,3,0,mussoorie
2020-02-25,98,62,0,13,3,0,mussoorie
2020-02-26,126,71,0,10,3,0,mussoorie
2020-02-27,118,45,0,10,3,0,mussoorie
2020-02-28,107,45,0,10,3,0,mussoorie
2020-02-29,77,11,0,10,3,0,mussoorie
2020-03-01,39,20,0,10,3,0,mussoorie
2020-03-02,59,38,0,11,3,0,mussoorie
2020-03-03,91,25,0,10,3,0,mussoorie
2020-03-04,70,27,0,10,3,0,mussoorie
2020-03-05,73,129,0,11,3,0,mussoorie
2020-03-06,93,32,0,11,3,0,mussoorie
2020-03-07,60,19,0,11,3,0,mussoorie
2020-03-08,58,13,0,10,2,0,mussoorie
2020-03-09,40,24,0,10,3,0,mussoorie
2020-03-10,62,21,0,10,3,0,mussoorie
2020-03-11,60,32,0,11,3,0,mussoorie
2020-03-12,77,14,0,10,3,0,mussoorie
2020-03-13,47,9,0,10,3,0,mussoorie
2020-03-14,29,11,0,10,3,0,mussoorie
2020-03-15,38,12,68,10,4,0,mussoorie
2020-03-16,41,15,0,9,3,0,mussoorie
2020-03-17,45,21,0,9,3,0,mussoorie
2020-03-18,61,17,0,9,3,0,mussoorie
2020-03-19,52,13,0,8,3,0,mussoorie
2020-03-20,44,18,0,9,3,0,mussoorie
2020-03-21,55,26,0,10,3,0,mussoorie
2020-03-22,71,24,0,9,3,0,mussoorie
2020-03-23,67,15,0,9,3,0,mussoorie
2020-03-24,49,14,0,9,2,0,mussoorie
2020-03-25,40,12,0,8,2,0,mussoorie
2020-03-26,39,14,0,11,3,0,mussoorie
2020-03-27,22,4,0,9,3,0,mussoorie
2020-03-28,15,5,0,8,3,0,mussoorie
2020-03-29,21,5,0,8,2,0,mussoorie
2020-03-30,21,8,0,9,2,0,mussoorie
2020-03-31,29,7,0,9,3,0,mussoorie
2020-04-01,25,7,0,8,3,0,mussoorie
2020-04-02,27,5,0,8,3,0,mussoorie
2020-04-03,22,7,0,8,3,0,mussoorie
2020-04-04,28,7,0,7,3,0,mussoorie
2020-04-05,28,7,0,7,2,0,mussoorie
2020-04-06,27,6,0,8,2,0,mussoorie
2020-04-07,23,8,0,8,2,0,mussoorie
2020-04-08,28,9,0,8,3,0,mussoorie
2020-04-09,33,10,0,8,3,0,mussoorie
2020-04-10,36,9,0,7,2,0,mussoorie
2020-04-11,32,13,0,8,2,0,mussoorie
2020-04-12,44,19,0,9,2,0,mussoorie
2020-04-13,59,21,0,8,2,0,mussoorie
2020-04-14,60,19,0,9,3,0,mussoorie
2020-04-15,56,16,0,7,3,0,mussoorie
2020-04-16,51,14,0,9,3,0,mussoorie
2020-04-17,47,4,0,10,3,0,mussoorie
2020-04-18,17,6,0,8,3,0,mussoorie
2020-04-19,24,18,0,9,3,0,mussoorie
2020-04-20,53,12,0,9,3,0,mussoorie
2020-04-21,42,14,0,8,3,0,mussoorie
2020-04-22,49,15,0,8,3,0,mussoorie
2020-04-23,48,21,0,8,3,0,mussoorie
2020-04-24,61,33,0,9,3,0,mussoorie
2020-04-25,82,14,0,10,3,0,mussoorie
2020-04-26,42,12,0,10,3,0,mussoorie
2020-04-27,39,12,0,10,3,0,mussoorie
2020-04-28,42,39,0,11,3,0,mussoorie
2020-04-29,99,46,0,9,3,0,mussoorie
2020-04-30,112,38,0,10,3,0,mussoorie
2020-05-01,95,50,0,11,3,0,mussoorie
2020-05-02,101,38,0,10,3,0,mussoorie
2020-05-03,78,9,0,9,3,0,mussoorie
2020-05-04,32,16,0,9,3,0,mussoorie
2020-05-05,52,23,0,9,3,0,mussoorie
2020-05-06,62,12,0,8,3,0,mussoorie
2020-05-07,39,27,0,9,3,0,mussoorie
2020-05-08,72,42,0,10,3,0,mussoorie
2020-05-09,104,28,0,9,3,0,mussoorie
2020-05-10,73,10,0,9,3,0,mussoorie
2020-05-11,37,18,0,9,3,0,mussoorie
2020-05-12,57,44,0,10,3,0,mussoorie
2020-05-13,104,30,0,8,3,0,mussoorie
2020-05-14,77,9,0,7,3,0,mussoorie
2020-05-15,32,9,0,8,3,0,mussoorie
2020-05-16,33,10,0,7,3,0,mussoorie
2020-05-17,37,12,0,8,3,0,mussoorie
2020-05-18,44,4,0,7,2,0,mussoorie
2020-05-19,18,8,0,8,3,0,mussoorie
2020-05-20,29,19,0,8,3,0,mussoorie
2020-05-21,59,23,0,7,3,0,mussoorie
2020-05-22,65,20,0,8,3,0,mussoorie
2020-05-23,58,18,0,7,3,0,mussoorie
2020-05-24,55,17,0,7,3,0,mussoorie
2020-05-25,55,10,0,8,3,0,mussoorie
2020-05-26,35,12,0,8,3,0,mussoorie
2020-05-27,40,12,0,11,3,0,mussoorie
2020-05-28,39,13,0,10,3,0,mussoorie
2020-05-29,41,2,0,10,3,0,mussoorie
2020-05-30,11,1,0,11,3,0,mussoorie
2020-05-31,5,1,0,10,3,0,mussoorie
2020-06-01,5,2,0,10,3,0,mussoorie
2020-06-02,8,2,0,9,3,0,mussoorie
2020-06-03,7,2,0,10,3,0,mussoorie
2020-06-04,8,1,0,10,3,0,mussoorie
2020-06-05,5,2,0,10,3,0,mussoorie
