,city,date,value
10,jind,2019-10-11,-8.924
11,jind,2019-10-12,-9.749
12,jind,2019-10-13,-8.984
13,jind,2019-10-14,-3.033
14,jind,2019-10-15,3.158
15,jind,2019-10-16,3.739
16,jind,2019-10-17,3.937
17,jind,2019-10-18,-1.919
18,jind,2019-10-19,-10.825999999999999
19,jind,2019-10-20,-0.779
20,jind,2019-10-21,-15.332
21,jind,2019-10-22,-14.026
22,jind,2019-10-23,-12.203
23,jind,2019-10-24,-11.173
24,jind,2019-10-25,-6.656000000000001
25,jind,2019-10-26,-3.741
26,jind,2019-10-27,-6.862
27,jind,2019-10-28,-9.362
28,jind,2019-10-29,-9.524
29,jind,2019-10-30,-6.421
30,jind,2019-10-31,-3.588
31,jind,2019-11-01,4.63
32,jind,2019-11-02,-0.9570000000000001
33,jind,2019-11-03,-5.192
34,jind,2019-11-04,-7.7589999999999995
35,jind,2019-11-05,-6.662000000000001
36,jind,2019-11-06,-2.634
37,jind,2019-11-07,-1.857
38,jind,2019-11-08,3.569
39,jind,2019-11-09,9.765
40,jind,2019-11-10,-3.2230000000000003
41,jind,2019-11-11,2.302
42,jind,2019-11-12,4.795
43,jind,2019-11-13,6.027
44,jind,2019-11-14,2.695
45,jind,2019-11-15,-2.6310000000000002
46,jind,2019-11-16,1.6019999999999999
47,jind,2019-11-17,5.042
48,jind,2019-11-18,8.562000000000001
49,jind,2019-11-19,2.697
50,jind,2019-11-20,2.09
51,jind,2019-11-21,0.555
52,jind,2019-11-22,-1.464
53,jind,2019-11-23,0.10400000000000001
54,jind,2019-11-24,0.948
55,jind,2019-11-25,-2.3609999999999998
56,jind,2019-11-26,-7.516
57,jind,2019-11-27,-5.167000000000001
58,jind,2019-11-28,-0.894
59,jind,2019-11-29,8.974
60,jind,2019-11-30,-5.3
61,jind,2019-12-01,-5.25
62,jind,2019-12-02,1.453
63,jind,2019-12-03,-0.46399999999999997
64,jind,2019-12-04,6.371
65,jind,2019-12-05,8.243
66,jind,2019-12-06,-2.117
67,jind,2019-12-07,-8.422
68,jind,2019-12-08,-7.888
69,jind,2019-12-09,-7.34
70,jind,2019-12-10,-6.4270000000000005
71,jind,2019-12-11,4.413
72,jind,2019-12-12,5.454
73,jind,2019-12-13,2.475
74,jind,2019-12-14,-0.018000000000000002
75,jind,2019-12-15,-2.09
76,jind,2019-12-16,-5.138
77,jind,2019-12-17,-9.501
78,jind,2019-12-18,-0.083
79,jind,2019-12-19,-7.28
