,Unnamed: 0,Date,Country,City,Specie,count,min,max,median,variance
3169,202613,2021-03-06,IN,Hyderabad,pressure,131,704.0,1175.5,714.0,118546.0
3170,202614,2021-04-06,IN,Hyderabad,pressure,125,705.0,1015.5,711.0,103599.0
3171,202615,2021-04-27,IN,Hyderabad,pressure,144,704.0,1009.5,711.0,124395.0
3172,202616,2021-05-30,IN,Hyderabad,pressure,119,593.3,1012.0,710.0,148821.0
3173,202617,2021-06-03,IN,Hyderabad,pressure,135,705.0,1014.0,710.7,132609.0
3174,202618,2021-06-04,IN,Hyderabad,pressure,144,705.5,1010.3,710.2,124658.0
3175,202619,2021-01-13,IN,Hyderabad,pressure,133,705.5,1018.0,714.0,99895.0
3176,202620,2021-02-26,IN,Hyderabad,pressure,136,704.5,2221.7,712.2,646804.0
3177,202621,2021-04-11,IN,Hyderabad,pressure,136,704.7,1019.0,712.5,96903.3
3178,202622,2021-05-19,IN,Hyderabad,pressure,136,701.0,1012.0,707.0,95316.6
3179,202623,2021-05-28,IN,Hyderabad,pressure,144,701.0,1011.0,707.0,125517.0
3180,202624,2021-06-15,IN,Hyderabad,pressure,131,695.5,1007.0,704.7,70431.3
3181,202625,2021-02-04,IN,Hyderabad,pressure,136,707.7,1021.0,716.0,97087.4
3182,202626,2021-03-25,IN,Hyderabad,pressure,139,705.2,1016.0,712.0,107369.0
3183,202627,2021-04-29,IN,Hyderabad,pressure,138,704.2,1015.0,710.5,130716.0
3184,202628,2021-02-03,IN,Hyderabad,pressure,120,708.0,785.7,715.0,596.3
3185,202629,2021-03-16,IN,Hyderabad,pressure,104,705.0,1017.0,711.7,121465.0
3186,202630,2021-04-02,IN,Hyderabad,pressure,138,702.0,2338.7,708.7,379247.0
3187,202631,2021-04-22,IN,Hyderabad,pressure,144,705.2,1016.0,711.5,126673.0
3188,202632,2021-05-18,IN,Hyderabad,pressure,129,702.2,1013.0,708.7,128596.0
3189,202633,2021-05-24,IN,Hyderabad,pressure,136,700.5,1011.0,708.0,131409.0
3190,202634,2021-06-08,IN,Hyderabad,pressure,144,701.5,1011.0,708.0,125438.0
3191,202635,2021-01-09,IN,Hyderabad,pressure,107,706.0,1016.5,713.0,123679.0
3192,202636,2021-01-30,IN,Hyderabad,pressure,136,706.7,1019.0,714.0,96617.4
3193,202637,2021-02-06,IN,Hyderabad,pressure,136,706.7,1019.0,713.5,96707.5
3194,202638,2021-02-11,IN,Hyderabad,pressure,134,706.0,1017.0,712.7,97506.0
