,Date,Country,City,Specie,count,min,max,median,variance
3525,03/04/2020,IN,Hyderabad,pm25,94,77.0,153.0,105.0,3261.41
3526,12/06/2020,IN,Hyderabad,pm25,133,29.0,161.0,60.0,2938.84
3527,19/06/2020,IN,Hyderabad,pm25,143,25.0,156.0,65.0,3295.6
3528,26/02/2020,IN,Hyderabad,pm25,120,99.0,165.0,138.0,2450.08
3529,15/03/2020,IN,Hyderabad,pm25,144,54.0,153.0,86.0,5279.89
3530,17/03/2020,IN,Hyderabad,pm25,123,31.0,145.0,76.0,5712.62
3531,06/04/2020,IN,Hyderabad,pm25,94,34.0,160.0,85.0,2602.42
3532,24/04/2020,IN,Hyderabad,pm25,144,57.0,155.0,86.0,2920.4
3533,28/05/2020,IN,Hyderabad,pm25,100,50.0,132.0,77.0,1942.26
3534,13/03/2020,IN,Hyderabad,pm25,144,21.0,150.0,79.0,5540.28
3535,30/03/2020,IN,Hyderabad,pm25,116,76.0,151.0,95.0,4020.31
3536,14/05/2020,IN,Hyderabad,pm25,144,32.0,155.0,73.0,7023.96
3537,18/06/2020,IN,Hyderabad,pm25,139,8.0,83.0,55.0,2484.27
3538,16/03/2020,IN,Hyderabad,pm25,138,24.0,160.0,82.0,7638.88
3539,21/04/2020,IN,Hyderabad,pm25,141,23.0,154.0,72.0,4673.43
3540,05/06/2020,IN,Hyderabad,pm25,144,34.0,131.0,62.0,2780.55
3541,11/06/2020,IN,Hyderabad,pm25,117,25.0,152.0,59.0,5320.66
3542,20/05/2020,IN,Hyderabad,pm25,96,44.0,166.0,88.0,11378.7
3543,08/01/2020,IN,Hyderabad,pm25,133,47.0,173.0,111.0,8649.9
3544,09/01/2020,IN,Hyderabad,pm25,144,64.0,169.0,120.0,9289.13
3545,11/01/2020,IN,Hyderabad,pm25,127,117.0,184.0,162.0,1081.76
3546,12/01/2020,IN,Hyderabad,pm25,96,87.0,175.0,161.0,5725.61
3547,14/01/2020,IN,Hyderabad,pm25,96,105.0,231.0,161.0,3083.99
3548,15/02/2020,IN,Hyderabad,pm25,135,78.0,375.0,157.0,20090.2
3549,21/03/2020,IN,Hyderabad,pm25,120,70.0,166.0,104.0,6965.09
3550,25/05/2020,IN,Hyderabad,pm25,95,71.0,128.0,94.0,1810.28
3551,15/06/2020,IN,Hyderabad,pm25,144,9.0,88.0,53.0,1698.32
3552,29/06/2020,IN,Hyderabad,pm25,80,25.0,134.0,54.0,4274.35
3553,13/01/2020,IN,Hyderabad,pm25,98,80.0,214.0,161.0,6740.19
3554,22/01/2020,IN,Hyderabad,pm25,134,57.0,175.0,103.0,9823.23
3555,22/03/2020,IN,Hyderabad,pm25,120,60.0,157.0,102.0,7084.08
3556,25/04/2020,IN,Hyderabad,pm25,144,55.0,159.0,89.0,4771.47
3557,23/05/2020,IN,Hyderabad,pm25,96,55.0,162.0,112.0,7351.68
3558,16/06/2020,IN,Hyderabad,pm25,140,5.0,74.0,41.0,2361.33
3559,05/01/2020,IN,Hyderabad,pm25,134,112.0,167.0,155.0,1559.84
3560,21/01/2020,IN,Hyderabad,pm25,129,52.0,165.0,96.0,7616.44
3561,23/03/2020,IN,Hyderabad,pm25,120,77.0,154.0,103.0,3551.42
3562,24/03/2020,IN,Hyderabad,pm25,120,34.0,127.0,82.0,3172.67
3563,02/04/2020,IN,Hyderabad,pm25,96,87.0,164.0,132.0,5079.12
3564,13/04/2020,IN,Hyderabad,pm25,133,64.0,153.0,99.0,3729.33
3565,27/01/2020,IN,Hyderabad,pm25,119,70.0,181.0,153.0,8392.81
3566,31/01/2020,IN,Hyderabad,pm25,113,103.0,165.0,151.0,2767.18
3567,22/06/2020,IN,Hyderabad,pm25,133,25.0,115.0,69.0,2385.92
3568,25/02/2020,IN,Hyderabad,pm25,120,78.0,166.0,109.0,5307.14
3569,31/03/2020,IN,Hyderabad,pm25,116,78.0,158.0,119.0,5203.09
3570,07/04/2020,IN,Hyderabad,pm25,92,37.0,127.0,70.0,1998.73
3571,15/04/2020,IN,Hyderabad,pm25,144,59.0,152.0,95.0,3961.81
3572,20/04/2020,IN,Hyderabad,pm25,144,32.0,144.0,78.0,4989.35
3573,06/01/2020,IN,Hyderabad,pm25,135,86.0,166.0,150.0,4416.53
3574,28/02/2020,IN,Hyderabad,pm25,120,78.0,157.0,114.0,3762.23
3575,15/01/2020,IN,Hyderabad,pm25,96,55.0,163.0,138.0,10147.5
3576,26/01/2020,IN,Hyderabad,pm25,120,87.0,184.0,158.0,5483.01
3577,05/05/2020,IN,Hyderabad,pm25,120,69.0,129.0,91.0,1703.02
3578,24/06/2020,IN,Hyderabad,pm25,118,42.0,145.0,67.0,2594.52
